DRUGS_ID;“ËÔ;202101001;202101002;202101003;202101004;202101005;202101006
528356;VOLUME;15764028,63;16829860,89;15823053,09;1537128,007;;
;QUANTITY;47445,73331;52745,87363;49217,97339;5379,506977;;
528774;VOLUME;14523,03215;1906,114245;1568,867836;51,14299762;;
;QUANTITY;386,4336273;50,9058;40,24030092;1,03970731;;
536154;VOLUME;38229280,17;42922394,08;47278486,02;46707577,74;31968914,87;42301930,39
;QUANTITY;56588,50259;60554,2821;62987,24944;67853,26602;47328,74767;61902,51297
564768;VOLUME;;413882,6573;46286802,52;38426587,61;40573872,34;53378760,87
;QUANTITY;;41,50244433;4453,218298;4224,858112;3972,901337;5726,024869
564770;VOLUME;;459746,4114;31479666,46;49864018,62;65532828,57;84607920,83
;QUANTITY;;39,90301425;2968,228613;5191,07381;6965,115743;8488,501404
580411;VOLUME;;;;731,2661307;24548,78768;1943,98038
;QUANTITY;;;;1,500956044;68,70365521;7,539197948
594398;VOLUME;61020191,38;73553691,9;60187719,15;51121518,71;36781993,58;37186009,58
;QUANTITY;89287,20813;107778,0027;90855,17663;84591,79333;55742,1286;60099,99568
594399;VOLUME;817352400,7;537073082,7;486559205,1;338092262,6;273750077,2;451075503,7
;QUANTITY;1009846,119;705726,0502;660256,7667;420042,9258;365141,991;556760,6577
602581;VOLUME;50003936,78;201408126,9;247412796,3;249281671,5;266486794,1;290027589,4
;QUANTITY;22734,48477;78765,32255;94295,37269;95155,98443;108693,7052;112535,8331
613842;VOLUME;238767,5499;277722,8202;206826,5756;92496,40603;113726,7083;125890,4849
;QUANTITY;1456,524597;1657,069677;1241,719238;526,6149012;709,5310511;743,2212768
613843;VOLUME;510740,0908;525628,5282;529333,5569;842429,4196;920374,1874;1445773,372
;QUANTITY;2267,747107;2340,487327;2318,018471;3697,126026;3934,974991;6560,693377
613844;VOLUME;24283,46873;101350,3853;;;416,6946367;1047452,925
;QUANTITY;111,0122274;469,1436045;;;1,979580796;6121,785881
613846;VOLUME;512,7078886;;148,0333592;113,3446204;181,9498199;
;QUANTITY;4,73716672;;1,344331777;1,061182131;1,735117578;
